bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4559,0.01485054381858891,34,22,7,19,117,396
4560,0.01097676965333063,34,23,9,20,121,166
4561,0.007174686799641037,34,19,11,26,127,190
4562,0.01054761763079521,34,20,12,26,141,168
4563,0.019977660814049884,34,22,10,22,91,112
4564,0.016555616404169304,34,22,9,21,104,134
4565,0.018282225653469306,34,24,9,19,75,84
4566,0.023354192486804808,34,24,7,17,101,158
4567,0.014968007760878744,34,23,7,18,84,132
4568,0.013874272858729109,34,21,10,23,91,118
4569,0.016528819035095284,34,22,8,20,106,178
4570,0.03412693250523868,34,19,6,21,74,214
4571,0.01362113357734624,34,20,10,24,120,232
4572,0.01955816815984165,34,23,10,21,138,162
4573,0.03324122509567974,34,21,11,24,111,132
4574,0.022625678948696853,34,24,9,19,84,96
4575,0.029273291566553283,34,22,8,20,78,132
4576,0.012701559777717447,34,25,7,16,102,126
4577,0.014336340040139645,34,24,8,18,109,130
4578,0.0052416518607146835,34,23,5,16,118,308
4579,0.015396205861687377,34,23,9,20,98,116
4580,0.01138410928369104,34,22,8,20,123,242
4581,0.02669564833989721,34,20,11,25,114,144
4582,0.012530402436629989,34,21,12,25,139,148
4583,0.009699046444143159,34,17,10,27,123,234
4584,0.0122605650090198,34,18,9,25,119,216
4585,0.017966247222125364,34,22,10,22,112,154
4586,0.004905802945372989,34,18,10,26,100,214
4587,0.013228504117612106,34,21,8,21,87,144
4588,0.026644817500890594,34,22,9,21,142,214
4589,0.02551807894247103,34,21,10,23,111,144
4590,0.02008662333510381,34,23,9,20,108,132
4591,0.011947397229424193,34,23,9,20,124,204
4592,0.016632263353345885,34,21,11,24,122,154
4593,0.010138658834900602,34,21,8,21,128,252
4594,0.022090891447991784,34,22,8,20,107,172
4595,0.024862133147131316,34,21,9,22,85,130
4596,0.020937545676614735,34,26,8,16,84,84
4597,0.018294279030908692,34,24,7,17,67,100
4598,0.023014739006214036,34,20,8,22,125,236
4599,0.021493210401676587,34,24,7,17,117,174
4600,0.004884147592871868,34,22,8,20,120,224
4601,0.0146700101655544,34,23,10,21,90,102
4602,0.015361353874536354,34,21,10,23,121,160
4603,0.01683693623570337,34,20,12,26,133,154
4604,0.010041080363322519,34,20,9,23,146,268
4605,0.01393633558419715,34,22,8,20,99,168
4606,0.02399290625074192,34,23,9,20,122,164
4607,0.020115335158322832,34,17,13,30,199,336
4608,0.030227483061534725,34,21,11,24,153,198
4609,0.014660735206653716,34,22,10,22,94,112
4610,0.012595139550311135,34,20,9,23,110,182
4611,0.02124818231613211,34,22,9,21,122,166
4612,0.01874742036105538,34,22,9,21,78,114
4613,0.005913408072962603,34,20,7,21,121,286
4614,0.02450104928254041,34,24,8,18,95,140
4615,0.01090752765683737,34,17,11,28,170,310
4616,0.021866152976903537,34,22,8,20,116,198
4617,0.020822644266126372,34,20,11,25,142,190
4618,0.009851376668365969,34,23,8,19,112,174
