bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
393,0.03404037079669429,43,28,9,27,105,244
394,0.021108230910627145,42,30,11,27,88,136
395,0.014712451050559308,44,29,10,27,76,146
396,0.012304533842033075,43,29,12,29,119,162
397,0.019830747845568535,46,28,12,30,120,186
398,0.009983219685829818,46,32,11,25,108,150
399,0.021176705538038527,43,28,14,32,116,164
400,0.012386315281748467,43,27,12,31,77,128
401,0.016597920292000287,43,30,12,28,101,140
402,0.011735128219982481,40,28,11,29,125,236
403,0.019250747341412112,45,32,12,26,104,152
404,0.02342145773106119,43,29,10,27,75,136
405,0.014822898079345545,44,31,11,26,95,146
406,0.012659435712553735,44,30,15,31,135,150
407,0.011648536183777605,44,26,15,35,157,238
408,0.01676650576703285,44,31,12,27,138,198
409,0.025077668978176607,45,34,9,21,81,114
410,0.021760550768035715,44,31,11,26,117,176
411,0.024858526492160672,43,28,12,30,102,170
412,0.014141881873067225,43,28,11,29,89,162
413,0.01013204150753283,44,29,14,31,124,172
414,0.02254494136992749,43,29,13,30,141,248
415,0.01230283431234102,40,28,13,31,95,122
416,0.012163817522542728,46,24,16,38,149,206
417,0.022759166018876703,43,27,13,32,172,256
418,0.013299992133277865,43,29,11,28,106,158
419,0.012967243347146825,46,25,15,36,170,292
420,0.014429358703061945,44,29,12,29,127,186
421,0.014194641120602064,44,29,14,31,98,122
422,0.01145152059457951,46,29,11,28,126,190
423,0.014202746173260769,43,31,10,25,102,184
424,0.03288625338671716,45,27,14,33,128,190
425,0.01752068520235631,44,32,12,26,105,126
426,0.0032135171994935735,44,27,14,33,185,322
427,0.016352934751104845,44,29,15,32,147,168
428,0.016049793162583356,45,29,11,28,104,164
429,0.02142423669941096,43,29,11,28,112,194
430,0.019989257626930906,45,29,14,31,147,192
431,0.016990918769331086,43,25,13,34,124,222
432,0.013003588863244084,45,30,11,27,141,228
433,0.01131143710674521,44,32,11,25,127,196
434,0.017221493072980126,43,28,13,31,128,196
435,0.01864534335382885,44,30,13,29,106,136
436,0.02070020683777425,45,28,12,30,128,200
437,0.007789387993784286,42,30,14,30,132,150
438,0.012409086009882754,42,27,11,30,128,226
439,0.010589190139558675,46,29,11,28,81,132
440,0.01336969801479012,44,28,14,32,173,252
441,0.01928560424000939,44,31,11,26,81,120
442,0.006644584344521948,43,26,13,33,112,190
443,0.016688952418163552,42,31,10,25,136,298
444,0.009319097412539099,44,28,10,28,106,234
445,0.03051019880439485,43,27,15,34,136,170
446,0.014011614203439257,43,30,14,30,96,114
447,0.021113747005448862,46,31,11,26,102,134
448,0.009663304890368242,45,29,12,29,98,168
449,0.01086515744078946,43,30,14,30,113,122
450,0.01868854262147547,45,33,12,25,106,118
451,0.0200567975900977,44,30,11,27,159,266
452,0.017696522853091475,46,30,11,27,132,238
453,0.020024432167619323,44,31,12,27,127,154
454,0.02076163611214601,44,26,13,33,134,222
455,0.012741948102890734,43,30,12,28,116,152
456,0.02150327389346863,44,30,11,27,145,240
457,0.010700096079940803,44,31,8,23,85,226
458,0.01253664985631947,46,28,13,31,149,230
459,0.012172530302709858,44,25,14,35,180,376
460,0.00616161509720408,42,27,13,32,153,222
461,0.014248350240007257,43,32,9,23,85,142
462,0.01481181835609982,42,30,9,25,128,330
463,0.01886794751899316,42,29,11,28,110,186
464,0.01583400880712091,43,27,12,31,123,234
465,0.016963969258466764,43,31,14,29,105,120
466,0.010630378443977871,44,30,12,28,110,140
467,0.015600710277208763,42,33,11,24,76,94
468,0.01805023074635133,43,28,12,30,136,238
469,0.01240531970067937,44,29,12,29,155,242
470,0.01545809208417434,45,29,14,31,175,244
471,0.016205699375821156,41,31,10,25,98,144
472,0.011279377271849928,42,32,9,23,116,200
473,0.014569558365239398,45,27,11,30,140,276
474,0.015209826431059614,42,29,10,27,101,210
475,0.009336522601780799,45,26,12,32,179,380
476,0.010198912735385778,45,30,14,30,148,172
477,0.010230452611409924,44,28,14,32,151,210
478,0.011760275400049716,45,30,13,29,138,180
479,0.011741820185354076,44,32,8,22,102,186
480,0.010649975809771943,43,33,11,24,128,176
481,0.013198606252291259,44,26,13,33,137,248
482,0.027995200378897633,45,27,11,30,146,342
483,0.027249546309966947,45,29,11,28,107,170
484,0.019550317057782624,44,26,13,33,189,428
485,0.020354848654802946,42,28,15,33,124,160
486,0.02615629888038952,44,30,7,23,128,552
487,0.02254494136992749,45,26,13,33,190,374
488,0.017600319693477307,44,29,12,29,163,254
489,0.012370946416322942,44,27,12,31,105,174
490,0.01437635962117468,45,31,8,23,102,196
491,0.0037987193794222357,43,30,12,28,158,240
492,0.010305588859401818,43,32,12,26,91,106
493,0.014207119357835758,44,29,14,31,133,166
494,0.02387193219076464,43,32,11,25,106,142
495,0.02082277557322315,43,32,10,24,77,102
496,0.016105858491675937,45,29,12,29,146,224
497,0.00935166104047401,43,29,13,30,115,154
498,0.011258233038658153,45,31,10,25,105,168
499,0.014261444126195542,42,31,10,25,112,200
500,0.022217135437334643,46,27,12,31,141,234
501,0.006345907228870018,45,28,13,31,178,288
502,0.011744056958128538,43,28,14,32,143,194
503,0.017958861358346297,46,28,13,31,134,210
504,0.031453526461398595,42,29,12,29,132,198
505,0.016558695090001185,43,28,12,30,119,210
506,0.014954626883867075,43,29,12,29,91,154
507,0.024774720602135647,45,29,11,28,145,286
508,0.009465374379672147,42,30,11,27,118,176
509,0.01985003103002636,45,29,9,26,68,132
510,0.01980057066062957,45,29,9,26,106,220
511,0.01158501739924716,46,29,12,29,180,326
512,0.017756663776987834,45,31,15,30,158,158
513,0.026274558385080915,40,28,13,31,101,142
514,0.025312677916943603,44,30,12,28,112,184
515,0.0163337910880387,44,29,14,31,159,234
516,0.00937453517604682,44,31,12,27,109,158
517,0.01495056474928342,44,32,13,27,147,180
518,0.014488324032932792,45,31,10,25,126,222
519,0.021633167796873194,46,28,11,29,119,224
520,0.017862198258315663,41,29,11,28,90,132
521,0.010820864286661014,44,29,11,28,149,242
522,0.011785620909893275,43,30,13,29,154,216
523,0.020729395325790333,44,27,13,32,125,196
524,0.013475128415612776,42,34,10,22,79,88
525,0.011638349978074378,44,32,11,25,102,150
526,0.01454767014926029,45,29,13,30,168,274
527,0.005071557888084645,44,26,13,33,139,236
528,0.025168709908529957,45,30,11,27,104,160
529,0.01587607150820394,44,31,12,27,111,158
530,0.01333278746005706,43,28,12,30,143,278
531,0.01811794259174213,44,34,10,22,78,102
532,0.011883397741473085,42,30,12,28,98,154
533,0.03186308114054793,46,26,13,33,143,266
534,0.013106751375951214,45,26,12,32,167,440
535,0.02265278128841191,43,31,12,27,112,154
536,0.029720089049164226,43,29,11,28,111,202
537,0.014489636337957777,46,27,16,35,143,170
538,0.008063969526191407,43,27,12,31,139,296
539,0.012604579366136737,43,27,15,34,138,174
540,0.012593695832927049,46,30,13,29,126,148
541,0.013184204513228673,43,27,12,31,116,222
542,0.014329665439223517,42,30,11,27,99,148
543,0.012370946416322942,43,29,14,31,115,134
544,0.016971225437036302,44,31,14,29,140,152
545,0.01567313703732609,43,31,9,24,109,170
546,0.01159128347961335,43,25,11,32,99,222
547,0.01215596866435234,43,29,13,30,124,200
548,0.018418335090054166,43,33,11,24,85,100
549,0.0146767517668977,46,31,10,25,99,180
550,0.012200286401961073,46,28,12,30,159,290
551,0.013883236779433317,44,27,14,33,124,204
552,0.013528387204033945,46,28,13,31,137,252
553,0.018834747919050307,41,30,11,27,111,276
554,0.012931332761900588,45,29,14,31,155,202
555,0.012632082284591645,42,26,13,33,134,232
556,0.014916305132825464,43,31,8,23,96,198
557,0.02611742774482387,43,28,14,32,128,188
558,0.014754768996923441,45,29,12,29,129,198
559,0.012849523940546184,44,28,13,31,188,298
560,0.015407736119426297,44,26,13,33,111,178
561,0.01291275521646907,44,27,16,35,109,130
562,0.016345915566438832,46,29,13,30,156,212
563,0.013488224501743959,45,29,15,32,115,136
564,0.013198606252291259,45,30,11,27,121,206
565,0.013693865041691913,44,27,11,30,128,280
566,0.014315517333784833,45,26,12,32,153,288
567,0.019425993773858008,45,29,14,31,159,204
568,0.01672780406455413,46,27,12,31,136,244
569,0.013184204513228673,45,32,11,25,119,146
570,0.012701559777717447,43,28,12,30,154,276
571,0.013429165258686024,42,28,14,32,128,170
572,0.01023257919901992,44,28,13,31,106,168
573,0.01387531362109673,45,28,13,31,164,266
574,0.0168729328572549,44,29,12,29,115,158
575,0.010245445005326231,43,29,14,31,130,158
576,0.010230452611409924,44,30,11,27,148,280
577,0.01020426161859134,46,32,14,28,134,134
578,0.01437179169518607,45,32,11,25,93,120
579,0.007658298914938216,43,26,13,33,130,232
580,0.013241624468034764,45,33,11,24,100,136
581,0.01390139818776788,43,33,12,25,101,110
582,0.024505680597964236,43,28,12,30,121,232
583,0.019842753121286125,45,29,12,29,174,284
584,0.012172643759920568,44,27,12,31,136,238
585,0.032324509720356415,44,25,11,32,108,236
586,0.021002731376996042,45,30,9,25,102,206
587,0.02527930928914084,46,28,11,29,127,286
588,0.0153317419954705,45,28,11,29,108,204
589,0.018247367383236936,45,25,15,36,149,222
590,0.015507635414099455,45,26,12,32,165,308
591,0.0182314054563172,44,32,9,23,120,300
592,0.016802974047015265,46,28,11,29,138,316
593,0.015665389681484343,45,29,12,29,91,148
594,0.022851323191960683,44,29,12,29,137,202
595,0.017049863425008187,43,28,14,32,131,184
596,0.013767575616491251,43,29,10,27,125,236
597,0.013314934648694363,45,31,10,25,116,224
598,0.01427367303092869,44,28,12,30,92,158
599,0.007698399160025144,44,30,11,27,126,198
600,0.016990918769331086,41,34,11,23,57,60
601,0.011387306782439308,45,30,11,27,138,232
602,0.015354878773725426,43,30,11,27,79,118
603,0.019581233157135225,45,28,13,31,132,212
604,0.01433767199215897,44,31,11,26,117,168
605,0.024159389176493316,44,27,15,34,155,216
606,0.014973930333700237,43,28,13,31,152,326
607,0.02373332536861211,42,31,14,29,96,102
608,0.01658708553951701,42,30,10,26,78,138
609,0.011418830005193004,46,33,11,24,110,128
610,0.012409846594359543,44,26,13,33,118,204
611,0.018723353155357933,44,36,9,19,93,108
612,0.028785230143209488,45,28,11,29,131,268
613,0.006922312970522385,46,30,11,27,107,204
614,0.013868844997472665,43,32,11,25,139,190
615,0.013711302969748686,43,29,12,29,112,158
