bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
3762,31,13,28,110,140
3763,27,13,32,146,242
3764,30,12,28,98,150
3765,28,14,32,112,154
3766,31,12,27,122,164
3767,29,11,28,134,206
3768,31,13,28,108,120
3769,33,9,22,118,190
3770,29,13,30,95,152
3771,31,12,27,122,142
3772,30,13,29,121,154
3773,29,14,31,139,184
3774,29,9,26,83,172
3775,33,8,21,79,136
3776,33,10,23,95,136
3777,30,12,28,120,174
3778,27,13,32,145,294
3779,30,12,28,128,168
3780,27,13,32,133,228
3781,30,13,29,105,152
3782,29,14,31,111,144
3783,28,12,30,115,182
3784,29,8,25,114,238
3785,31,13,28,124,160
3786,30,14,30,103,118
3787,27,13,32,151,276
3788,27,15,34,143,206
3789,28,13,31,169,366
3790,31,11,26,83,138
3791,31,11,26,100,142
3792,26,14,34,150,240
3793,31,13,28,120,138
3794,30,13,29,120,162
3795,31,10,25,105,160
3796,30,12,28,99,138
3797,28,16,34,176,240
3798,32,10,24,87,138
3799,27,12,31,143,244
3800,30,12,28,135,182
3801,27,14,33,121,180
3802,33,9,22,101,200
3803,28,14,32,143,218
3804,32,11,25,79,112
3805,29,13,30,136,202
3806,30,10,26,90,166
3807,28,15,33,149,218
3808,30,13,29,127,160
3809,30,12,28,96,126
3810,30,12,28,148,220
3811,29,12,29,128,188
3812,30,12,28,106,154
3813,29,12,29,116,200
3814,32,10,24,64,90
3815,31,10,25,95,174
3816,29,13,30,124,180
3817,28,13,31,139,202
3818,25,14,35,170,260
3819,27,15,34,155,194
3820,28,11,29,121,202
3821,30,13,29,138,192
3822,31,12,27,124,178
3823,27,15,34,147,222
3824,29,13,30,148,214
3825,30,12,28,133,214
3826,31,9,24,93,196
3827,26,14,34,155,228
3828,31,11,26,114,168
3829,31,13,28,127,148
3830,28,11,29,117,204
3831,30,12,28,86,106
3832,28,10,28,154,350
3833,29,11,28,118,202
3834,30,13,29,86,110
3835,28,11,29,87,150
3836,31,7,22,121,320
3837,30,12,28,106,148
3838,26,14,34,131,210
3839,27,13,32,134,218
3840,28,11,29,136,240
3841,30,13,29,119,152
3842,33,10,23,86,114
3843,26,13,33,130,274
3844,32,10,24,96,156
3845,29,13,30,136,190
3846,25,13,34,162,310
3847,28,12,30,120,194
3848,30,11,27,106,180
3849,28,11,29,138,234
