bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
1,31,9,24,77,136
2,30,13,29,104,128
3,29,11,28,126,192
4,31,10,25,83,128
5,29,13,30,129,200
6,34,9,21,78,110
7,29,11,28,98,156
8,29,12,29,129,192
9,32,12,26,114,150
10,28,11,29,113,196
11,31,14,29,136,148
12,35,9,20,100,142
13,32,10,24,108,172
14,30,10,26,101,162
15,30,14,30,128,146
16,30,11,27,122,202
17,29,13,30,141,188
18,28,10,28,114,224
19,30,14,30,144,186
20,28,13,31,128,200
21,27,11,30,96,210
22,28,11,29,110,182
23,26,15,35,132,194
24,28,14,32,143,218
25,30,13,29,108,156
26,28,12,30,130,220
27,30,12,28,113,146
28,30,11,27,110,158
29,28,12,30,126,200
30,32,11,25,115,160
31,29,11,28,114,204
32,29,12,29,149,204
33,30,14,30,142,158
34,28,12,30,100,154
35,27,11,30,139,258
36,30,13,29,109,142
37,24,14,36,122,242
38,30,13,29,95,122
39,29,12,29,106,172
40,34,10,22,77,92
41,29,12,29,123,174
42,28,11,29,139,226
43,32,11,25,117,174
44,29,14,31,105,126
45,27,13,32,107,160
46,26,16,36,156,196
47,30,12,28,143,194
48,28,13,31,125,200
49,29,12,29,127,176
50,29,12,29,95,134
51,29,13,30,146,206
52,30,12,28,121,192
53,28,15,33,173,224
54,31,10,25,97,202
55,28,13,31,146,208
56,27,15,34,143,200
57,30,12,28,118,172
58,31,13,28,127,148
59,26,10,30,103,230
60,30,10,26,94,164
61,29,11,28,99,156
62,29,10,27,151,304
63,25,15,36,186,334
64,29,13,30,167,230
65,36,7,17,94,130
66,29,11,28,102,156
67,24,14,36,139,264
68,31,13,28,143,176
69,30,14,30,99,108
70,28,12,30,135,210
71,29,14,31,127,162
72,24,12,34,135,288
73,31,9,24,144,290
74,31,10,25,99,156
75,34,11,23,88,94
76,31,12,27,108,142
77,31,11,26,112,154
78,31,14,29,156,186
79,29,12,29,133,228
80,31,11,26,88,136
81,31,12,27,125,182
82,32,11,25,94,116
83,34,12,24,84,84
84,29,11,28,107,182
85,26,13,33,175,308
86,25,13,34,128,204
87,29,12,29,122,216
88,31,11,26,109,172
89,28,13,31,155,270
90,32,14,28,112,112
91,26,13,33,103,156
92,27,15,34,158,218
93,29,13,30,130,170
94,29,13,30,139,226
95,33,11,24,98,130
96,31,12,27,106,142
97,32,11,25,133,190
98,32,11,25,97,130
99,29,12,29,106,168
100,30,13,29,138,166
101,27,12,31,105,174
102,29,11,28,145,296
103,32,13,27,98,110
104,28,12,30,135,222
105,30,14,30,120,150
106,29,12,29,133,246
107,32,12,26,104,128
108,31,11,26,138,242
109,29,12,29,116,156
110,28,15,33,151,202
111,26,13,33,126,230
112,29,13,30,127,212
113,30,14,30,131,140
114,30,15,31,108,114
115,29,10,27,109,198
116,30,12,28,98,140
117,30,10,26,164,330
118,29,11,28,119,200
119,24,13,35,119,220
120,31,12,27,118,148
121,28,12,30,112,188
122,30,13,29,146,216
123,27,10,29,142,326
124,29,12,29,122,206
125,29,11,28,108,168
126,28,14,32,130,188
127,31,13,28,133,166
128,30,11,27,144,260
129,29,14,31,105,138
130,30,10,26,95,158
131,30,13,29,142,196
132,27,14,33,139,214
133,29,12,29,84,124
134,27,15,34,144,178
135,30,12,28,108,162
136,31,10,25,140,236
137,28,10,28,143,296
138,26,12,32,111,198
139,30,12,28,104,134
140,31,13,28,88,112
141,33,10,23,126,196
142,31,11,26,123,180
143,30,13,29,112,142
144,32,12,26,122,170
145,27,15,34,118,154
146,26,14,34,119,206
147,29,13,30,104,156
148,28,13,31,101,160
149,27,14,33,116,162
150,28,12,30,120,174
151,25,12,33,144,330
152,25,14,35,151,300
153,25,17,38,144,220
154,31,10,25,144,278
155,30,11,27,124,208
156,35,9,20,81,108
157,30,12,28,114,156
158,31,11,26,128,224
159,32,10,24,97,192
160,24,12,34,128,294
161,31,10,25,147,222
162,31,14,29,140,164
163,28,12,30,166,460
164,26,12,32,108,170
165,27,11,30,111,206
166,27,13,32,129,198
167,30,13,29,125,156
168,28,13,31,159,256
169,33,10,23,111,150
170,27,15,34,162,246
171,29,9,26,81,172
172,33,10,23,112,172
173,29,15,32,124,142
174,33,12,25,116,140
175,32,10,24,93,156
176,29,13,30,137,194
177,30,10,26,116,202
178,28,13,31,123,220
179,28,12,30,111,218
180,26,13,33,135,252
181,26,16,36,161,230
182,30,11,27,107,166
183,28,12,30,148,234
184,29,12,29,106,166
185,29,13,30,131,176
186,30,11,27,98,162
187,27,11,30,143,290
188,31,13,28,103,112
189,29,15,32,154,172
190,25,13,34,135,230
191,29,12,29,124,178
192,33,7,20,82,174
193,30,12,28,91,128
194,30,13,29,132,168
195,26,12,32,117,230
196,30,11,27,94,142
197,25,15,36,159,266
198,32,12,26,109,148
199,31,11,26,113,162
200,32,12,26,109,130
201,25,14,35,142,236
202,26,16,36,175,250
203,27,12,31,135,228
204,28,14,32,117,170
205,30,14,30,103,118
206,31,11,26,114,180
207,28,12,30,120,202
208,31,11,26,142,202
209,32,11,25,86,104
210,31,13,28,121,142
211,31,11,26,142,240
212,30,15,31,120,132
213,30,11,27,111,178
214,24,14,36,170,284
215,27,13,32,129,196
216,28,12,30,118,208
217,28,15,33,146,182
218,27,14,33,167,242
219,29,10,27,109,218
220,30,12,28,118,178
221,29,8,25,94,242
222,28,12,30,113,194
223,31,14,29,129,138
224,36,8,18,51,66
225,28,14,32,124,166
226,26,11,31,135,258
227,26,12,32,108,216
228,31,13,28,101,116
229,27,15,34,124,158
230,24,16,38,141,220
231,29,12,29,110,162
232,28,15,33,151,184
233,27,13,32,144,196
234,31,11,26,112,160
235,31,11,26,116,182
236,30,13,29,111,132
237,29,13,30,137,238
238,32,12,26,93,108
239,28,13,31,129,192
240,29,11,28,123,236
241,26,13,33,177,338
242,31,13,28,117,132
243,32,10,24,120,196
244,31,13,28,85,100
245,33,9,22,100,226
246,29,12,29,124,218
247,24,14,36,159,324
248,28,12,30,112,176
249,30,13,29,133,166
250,28,15,33,150,174
251,27,12,31,153,298
252,30,10,26,139,424
253,32,11,25,113,178
254,29,12,29,100,166
255,30,13,29,121,184
256,27,14,33,147,216
257,26,13,33,124,212
258,29,12,29,163,268
259,28,11,29,111,202
260,29,11,28,116,186
261,31,12,27,94,130
262,32,10,24,90,138
263,30,11,27,102,182
264,31,13,28,91,106
265,28,10,28,107,200
266,28,12,30,119,204
267,27,14,33,158,232
268,27,14,33,135,198
269,25,13,34,152,282
270,33,7,20,84,152
271,27,11,30,153,310
272,26,14,34,169,272
273,31,10,25,126,212
274,25,12,33,131,238
275,30,14,30,107,128
276,29,12,29,124,200
277,29,15,32,102,126
278,30,11,27,118,184
279,26,12,32,133,264
280,30,11,27,114,202
281,30,11,27,121,234
282,32,11,25,163,276
283,30,13,29,131,176
284,27,12,31,153,246
285,30,12,28,109,194
286,26,15,35,141,198
287,32,12,26,105,126
288,29,14,31,144,186
289,32,12,26,91,118
290,27,13,32,156,248
291,31,12,27,116,202
292,29,11,28,122,224
293,31,10,25,146,264
294,28,13,31,155,270
295,29,14,31,117,148
296,30,13,29,124,148
297,32,12,26,96,114
298,31,13,28,116,140
299,29,11,28,110,162
300,28,12,30,168,328
301,31,11,26,141,300
302,31,13,28,115,130
303,29,11,28,114,174
304,30,14,30,153,180
305,27,12,31,118,210
306,30,13,29,121,172
307,31,12,27,154,232
308,32,10,24,125,188
309,29,13,30,144,216
310,27,12,31,123,202
311,28,12,30,106,180
312,29,11,28,98,176
313,30,12,28,95,122
314,30,12,28,131,206
315,27,13,32,141,198
316,32,10,24,101,132
317,32,10,24,121,166
318,29,12,29,120,176
319,30,13,29,130,168
320,29,14,31,101,118
321,31,11,26,96,128
322,28,13,31,130,182
323,30,13,29,112,136
324,27,12,31,137,242
325,29,14,31,135,180
326,33,9,22,90,158
327,30,13,29,123,174
328,31,13,28,80,92
329,28,15,33,133,154
330,27,14,33,108,138
331,27,13,32,146,230
332,31,12,27,81,114
333,33,10,23,116,158
334,28,14,32,140,176
335,33,11,24,95,134
336,26,11,31,130,310
337,30,14,30,146,188
338,32,11,25,103,176
339,33,10,23,81,106
340,29,12,29,135,242
341,30,11,27,127,234
342,27,13,32,112,188
343,27,14,33,111,168
344,31,12,27,107,158
345,30,14,30,145,172
346,29,9,26,74,134
347,27,13,32,110,166
348,31,9,24,117,216
349,28,14,32,106,154
350,26,12,32,176,370
351,27,12,31,129,234
352,29,15,32,135,156
353,30,11,27,80,134
354,30,10,26,94,152
355,31,12,27,143,192
356,32,12,26,125,164
357,29,11,28,119,220
358,32,12,26,107,146
359,26,12,32,172,300
360,31,13,28,95,116
361,32,10,24,109,164
362,32,12,26,104,146
363,30,12,28,92,128
364,31,11,26,120,198
365,29,11,28,116,190
366,32,11,25,109,148
367,30,13,29,107,128
368,29,12,29,105,170
369,29,13,30,101,128
370,31,12,27,122,156
371,30,12,28,127,196
372,28,16,34,141,168
373,30,12,28,116,144
374,29,15,32,138,150
375,31,12,27,107,134
376,33,10,23,126,198
377,30,12,28,98,148
378,27,12,31,109,208
379,32,11,25,141,168
380,30,13,29,122,198
381,30,14,30,140,182
382,32,11,25,94,118
383,26,14,34,199,404
384,30,11,27,90,144
385,31,10,25,95,138
386,28,12,30,126,214
387,29,10,27,100,174
388,30,10,26,129,244
389,27,11,30,135,296
390,29,10,27,111,222
391,31,12,27,125,176
392,32,12,26,95,110
393,28,9,27,105,244
394,30,11,27,88,136
395,29,10,27,76,146
396,29,12,29,119,162
397,28,12,30,120,186
398,32,11,25,108,150
399,28,14,32,116,164
400,27,12,31,77,128
401,30,12,28,101,140
402,28,11,29,125,236
403,32,12,26,104,152
404,29,10,27,75,136
405,31,11,26,95,146
406,30,15,31,135,150
407,26,15,35,157,238
408,31,12,27,138,198
409,34,9,21,81,114
410,31,11,26,117,176
411,28,12,30,102,170
412,28,11,29,89,162
413,29,14,31,124,172
414,29,13,30,141,248
415,28,13,31,95,122
416,24,16,38,149,206
417,27,13,32,172,256
418,29,11,28,106,158
419,25,15,36,170,292
420,29,12,29,127,186
421,29,14,31,98,122
422,29,11,28,126,190
423,31,10,25,102,184
424,27,14,33,128,190
425,32,12,26,105,126
426,27,14,33,185,322
427,29,15,32,147,168
428,29,11,28,104,164
429,29,11,28,112,194
430,29,14,31,147,192
431,25,13,34,124,222
432,30,11,27,141,228
433,32,11,25,127,196
434,28,13,31,128,196
435,30,13,29,106,136
436,28,12,30,128,200
437,30,14,30,132,150
438,27,11,30,128,226
439,29,11,28,81,132
440,28,14,32,173,252
441,31,11,26,81,120
442,26,13,33,112,190
443,31,10,25,136,298
444,28,10,28,106,234
445,27,15,34,136,170
446,30,14,30,96,114
447,31,11,26,102,134
448,29,12,29,98,168
449,30,14,30,113,122
450,33,12,25,106,118
451,30,11,27,159,266
452,30,11,27,132,238
453,31,12,27,127,154
454,26,13,33,134,222
455,30,12,28,116,152
456,30,11,27,145,240
457,31,8,23,85,226
458,28,13,31,149,230
459,25,14,35,180,376
460,27,13,32,153,222
461,32,9,23,85,142
462,30,9,25,128,330
463,29,11,28,110,186
464,27,12,31,123,234
465,31,14,29,105,120
466,30,12,28,110,140
467,33,11,24,76,94
468,28,12,30,136,238
469,29,12,29,155,242
470,29,14,31,175,244
471,31,10,25,98,144
472,32,9,23,116,200
473,27,11,30,140,276
474,29,10,27,101,210
475,26,12,32,179,380
476,30,14,30,148,172
477,28,14,32,151,210
478,30,13,29,138,180
479,32,8,22,102,186
480,33,11,24,128,176
481,26,13,33,137,248
482,27,11,30,146,342
483,29,11,28,107,170
484,26,13,33,189,428
485,28,15,33,124,160
486,30,7,23,128,552
487,26,13,33,190,374
488,29,12,29,163,254
489,27,12,31,105,174
490,31,8,23,102,196
491,30,12,28,158,240
492,32,12,26,91,106
493,29,14,31,133,166
494,32,11,25,106,142
495,32,10,24,77,102
496,29,12,29,146,224
497,29,13,30,115,154
498,31,10,25,105,168
499,31,10,25,112,200
500,27,12,31,141,234
501,28,13,31,178,288
502,28,14,32,143,194
503,28,13,31,134,210
504,29,12,29,132,198
505,28,12,30,119,210
506,29,12,29,91,154
507,29,11,28,145,286
508,30,11,27,118,176
509,29,9,26,68,132
510,29,9,26,106,220
511,29,12,29,180,326
512,31,15,30,158,158
513,28,13,31,101,142
514,30,12,28,112,184
515,29,14,31,159,234
516,31,12,27,109,158
517,32,13,27,147,180
518,31,10,25,126,222
519,28,11,29,119,224
520,29,11,28,90,132
521,29,11,28,149,242
522,30,13,29,154,216
523,27,13,32,125,196
524,34,10,22,79,88
525,32,11,25,102,150
526,29,13,30,168,274
527,26,13,33,139,236
528,30,11,27,104,160
529,31,12,27,111,158
530,28,12,30,143,278
531,34,10,22,78,102
532,30,12,28,98,154
533,26,13,33,143,266
534,26,12,32,167,440
535,31,12,27,112,154
536,29,11,28,111,202
537,27,16,35,143,170
538,27,12,31,139,296
539,27,15,34,138,174
540,30,13,29,126,148
541,27,12,31,116,222
542,30,11,27,99,148
543,29,14,31,115,134
544,31,14,29,140,152
545,31,9,24,109,170
546,25,11,32,99,222
547,29,13,30,124,200
548,33,11,24,85,100
549,31,10,25,99,180
550,28,12,30,159,290
551,27,14,33,124,204
552,28,13,31,137,252
553,30,11,27,111,276
554,29,14,31,155,202
555,26,13,33,134,232
556,31,8,23,96,198
557,28,14,32,128,188
558,29,12,29,129,198
559,28,13,31,188,298
560,26,13,33,111,178
561,27,16,35,109,130
562,29,13,30,156,212
563,29,15,32,115,136
564,30,11,27,121,206
565,27,11,30,128,280
566,26,12,32,153,288
567,29,14,31,159,204
568,27,12,31,136,244
569,32,11,25,119,146
570,28,12,30,154,276
571,28,14,32,128,170
572,28,13,31,106,168
573,28,13,31,164,266
574,29,12,29,115,158
575,29,14,31,130,158
576,30,11,27,148,280
577,32,14,28,134,134
578,32,11,25,93,120
579,26,13,33,130,232
580,33,11,24,100,136
581,33,12,25,101,110
582,28,12,30,121,232
583,29,12,29,174,284
584,27,12,31,136,238
585,25,11,32,108,236
586,30,9,25,102,206
587,28,11,29,127,286
588,28,11,29,108,204
589,25,15,36,149,222
590,26,12,32,165,308
591,32,9,23,120,300
592,28,11,29,138,316
593,29,12,29,91,148
594,29,12,29,137,202
595,28,14,32,131,184
596,29,10,27,125,236
597,31,10,25,116,224
598,28,12,30,92,158
599,30,11,27,126,198
600,34,11,23,57,60
601,30,11,27,138,232
602,30,11,27,79,118
603,28,13,31,132,212
604,31,11,26,117,168
605,27,15,34,155,216
606,28,13,31,152,326
607,31,14,29,96,102
608,30,10,26,78,138
609,33,11,24,110,128
610,26,13,33,118,204
611,36,9,19,93,108
612,28,11,29,131,268
613,30,11,27,107,204
614,32,11,25,139,190
615,29,12,29,112,158
616,31,11,26,117,162
617,30,13,29,106,154
618,31,11,26,109,172
619,28,13,31,134,188
620,28,10,28,126,296
621,30,12,28,127,184
622,32,9,23,81,124
623,28,13,31,150,242
624,28,12,30,118,186
625,27,11,30,92,182
626,32,12,26,97,124
627,30,14,30,132,144
628,30,13,29,136,184
629,28,12,30,99,174
630,29,11,28,95,144
631,29,12,29,124,196
632,32,9,23,86,140
633,28,14,32,119,152
634,31,12,27,165,240
635,28,14,32,142,196
636,31,12,27,104,152
637,27,13,32,136,246
638,28,13,31,165,250
639,30,12,28,112,204
640,27,14,33,133,192
641,29,13,30,140,206
642,29,12,29,78,120
643,30,12,28,84,120
644,32,11,25,86,122
645,28,13,31,133,210
646,28,14,32,171,242
647,29,13,30,101,146
648,29,12,29,95,146
649,28,12,30,102,184
650,31,11,26,109,204
651,25,15,36,141,228
652,27,15,34,146,230
653,33,10,23,123,188
654,29,11,28,94,176
655,30,13,29,132,156
656,28,11,29,108,198
657,26,15,35,160,228
658,24,15,37,168,268
659,27,14,33,119,194
660,28,11,29,139,308
661,26,15,35,149,206
662,30,13,29,137,234
663,32,10,24,81,126
664,29,12,29,106,158
665,30,11,27,115,188
666,32,10,24,129,182
667,27,13,32,109,162
668,30,14,30,138,180
669,28,14,32,166,220
670,28,14,32,96,120
671,33,10,23,83,104
672,28,10,28,146,360
673,27,12,31,97,172
674,29,12,29,96,132
675,29,10,27,97,184
676,31,13,28,139,202
677,30,12,28,97,170
678,28,12,30,138,228
679,29,15,32,121,142
680,28,15,33,152,182
681,30,12,28,127,198
682,30,12,28,128,272
683,32,13,27,102,114
684,30,10,26,84,152
685,32,11,25,104,146
686,30,13,29,114,158
687,29,13,30,109,170
688,29,12,29,128,188
689,34,7,19,87,208
690,29,12,29,129,184
691,31,13,28,112,130
692,29,12,29,166,300
693,32,13,27,117,132
694,30,11,27,83,128
695,31,13,28,125,152
696,33,10,23,84,108
697,27,12,31,123,186
698,28,11,29,128,244
699,26,11,31,142,276
700,28,15,33,162,216
701,31,12,27,81,98
702,28,14,32,153,198
703,23,16,39,194,328
704,27,16,35,154,190
705,28,13,31,108,180
706,30,13,29,152,200
707,29,13,30,115,144
708,30,12,28,128,194
709,25,14,35,123,228
710,30,12,28,113,168
711,30,13,29,136,230
712,33,10,23,83,116
713,29,13,30,110,146
714,37,8,17,82,106
715,26,13,33,113,168
716,31,12,27,96,120
717,29,13,30,152,236
718,28,14,32,158,242
719,28,12,30,168,270
720,29,13,30,125,172
721,29,11,28,136,230
722,33,10,23,97,144
723,31,10,25,120,240
724,27,14,33,124,184
725,32,11,25,124,224
726,26,14,34,122,230
727,31,12,27,175,250
728,31,11,26,148,264
729,31,12,27,101,134
730,31,11,26,117,174
731,31,12,27,81,108
732,32,11,25,72,108
733,30,11,27,109,184
734,29,14,31,138,160
735,29,10,27,100,220
736,29,12,29,133,254
737,29,12,29,131,188
738,28,14,32,94,130
739,31,11,26,125,170
740,30,14,30,111,126
741,28,14,32,149,212
742,29,13,30,152,332
743,29,10,27,104,198
744,30,12,28,98,144
745,27,14,33,161,252
746,31,14,29,138,150
747,33,11,24,89,98
748,31,12,27,124,154
749,28,10,28,155,314
750,24,13,35,176,434
751,32,11,25,98,128
752,29,13,30,121,148
753,29,14,31,118,154
754,27,9,28,111,262
755,28,16,34,117,144
756,24,12,34,132,256
757,25,14,35,158,302
758,30,13,29,130,190
759,29,15,32,143,182
760,33,9,22,89,146
761,28,14,32,152,212
762,29,14,31,115,148
763,29,12,29,101,164
764,32,9,23,104,272
765,33,9,22,136,258
766,28,10,28,120,240
767,28,14,32,152,196
768,33,10,23,77,104
769,29,12,29,126,200
770,32,11,25,84,114
771,31,9,24,114,234
772,33,11,24,123,150
773,25,13,34,106,174
774,28,14,32,158,212
775,29,11,28,101,164
776,28,13,31,111,160
777,30,12,28,120,162
778,30,11,27,107,164
779,29,11,28,100,152
780,35,10,21,92,104
781,29,12,29,171,334
782,28,13,31,146,240
783,29,10,27,124,252
784,28,12,30,124,244
785,29,13,30,103,136
786,31,12,27,108,138
787,32,10,24,95,148
788,26,15,35,174,240
789,25,13,34,165,280
790,27,12,31,128,208
791,33,10,23,86,116
792,29,13,30,132,168
793,31,13,28,146,194
794,33,11,24,113,128
795,31,12,27,97,176
796,30,12,28,124,182
797,31,11,26,89,138
798,30,11,27,121,184
799,28,16,34,130,142
800,29,12,29,89,134
801,35,11,22,76,76
802,29,13,30,111,168
803,30,10,26,87,150
804,28,11,29,98,156
805,33,13,26,84,84
806,31,10,25,106,166
807,30,13,29,98,112
808,31,12,27,141,204
809,28,12,30,121,190
810,26,13,33,110,164
811,29,13,30,111,156
812,31,12,27,111,144
813,31,8,23,96,196
814,29,12,29,109,166
815,28,16,34,147,168
816,30,12,28,120,216
817,29,11,28,137,260
818,28,13,31,153,280
819,27,13,32,175,268
820,25,13,34,162,368
821,28,10,28,123,226
822,31,11,26,120,186
823,29,12,29,164,252
824,29,10,27,82,160
825,28,12,30,137,270
826,31,12,27,125,182
827,31,10,25,112,232
828,32,9,23,81,132
829,29,10,27,103,226
830,31,12,27,115,148
831,26,14,34,124,206
832,30,11,27,93,138
833,30,11,27,125,208
834,30,12,28,117,162
835,24,15,37,142,238
836,31,12,27,112,136
837,26,13,33,120,200
838,30,12,28,107,134
839,29,11,28,156,326
840,32,12,26,103,118
841,32,12,26,106,130
842,28,15,33,138,168
843,29,13,30,141,218
844,30,10,26,163,386
845,31,11,26,95,146
846,30,11,27,115,198
847,29,13,30,123,162
848,29,12,29,119,162
849,28,12,30,114,170
850,28,13,31,155,250
851,31,11,26,94,142
852,29,13,30,114,168
853,30,11,27,116,178
854,31,14,29,121,136
855,34,11,23,68,74
856,29,12,29,127,190
857,30,13,29,101,134
858,34,9,21,97,186
859,28,13,31,173,344
860,31,11,26,106,160
861,30,13,29,112,136
862,25,15,36,184,300
863,30,13,29,140,210
864,30,11,27,120,198
865,32,11,25,99,150
866,31,12,27,92,114
867,32,10,24,99,152
868,27,15,34,151,196
869,28,12,30,142,244
870,32,11,25,138,230
871,35,8,19,78,148
872,28,12,30,106,178
873,31,12,27,108,162
874,28,11,29,116,212
875,32,10,24,72,116
876,28,10,28,74,150
877,31,11,26,125,194
878,33,11,24,134,214
879,33,11,24,74,98
880,30,13,29,171,234
881,30,14,30,104,116
882,29,14,31,162,192
883,30,10,26,116,200
884,29,14,31,154,184
885,29,11,28,157,448
886,33,10,23,82,124
887,26,12,32,163,298
888,30,14,30,115,136
889,29,12,29,107,182
890,27,13,32,117,194
891,27,12,31,111,198
892,27,11,30,144,308
893,30,10,26,109,248
894,32,12,26,157,196
895,34,9,21,95,178
896,27,15,34,159,246
897,27,14,33,150,196
898,27,14,33,143,218
899,28,12,30,173,274
900,26,16,36,161,236
901,29,12,29,127,202
902,32,10,24,81,114
903,27,16,35,157,178
904,29,9,26,94,212
905,30,12,28,131,200
906,29,12,29,123,186
907,28,13,31,157,254
908,31,10,25,112,178
909,28,14,32,139,196
910,28,15,33,148,208
911,31,11,26,107,172
912,28,12,30,106,154
913,26,13,33,138,232
914,31,12,27,141,210
915,30,13,29,84,102
916,33,9,22,78,118
917,28,14,32,144,218
918,31,10,25,141,252
919,31,10,25,98,144
920,32,9,23,121,310
921,28,15,33,117,144
922,28,14,32,130,166
923,34,11,23,108,120
924,28,14,32,161,218
925,25,13,34,133,240
926,28,14,32,145,232
927,30,10,26,140,234
928,29,14,31,161,254
929,30,11,27,106,186
930,31,12,27,102,174
931,30,11,27,132,222
932,30,10,26,94,176
933,29,12,29,110,166
934,28,15,33,135,192
935,28,14,32,153,206
936,31,11,26,123,202
937,28,11,29,92,170
938,30,13,29,155,206
939,28,13,31,115,184
940,28,12,30,137,194
941,30,13,29,105,138
942,32,11,25,105,144
943,30,14,30,111,132
944,29,12,29,88,140
945,28,12,30,102,176
946,27,13,32,132,248
947,27,13,32,137,200
948,32,10,24,93,142
949,30,11,27,116,196
950,30,11,27,77,126
951,34,8,20,66,108
952,30,12,28,142,202
953,29,11,28,109,216
954,30,13,29,145,196
955,31,12,27,122,182
956,32,9,23,79,118
957,29,13,30,91,112
958,27,13,32,86,134
959,30,12,28,174,298
960,29,12,29,105,142
961,27,13,32,112,160
962,28,14,32,151,194
963,31,11,26,119,176
964,28,10,28,139,316
965,30,14,30,129,138
966,32,12,26,91,106
967,27,15,34,160,226
968,34,9,21,82,96
969,30,11,27,114,202
970,29,11,28,129,210
971,28,15,33,138,174
972,28,14,32,126,186
973,25,14,35,158,248
974,28,12,30,151,430
975,29,12,29,139,214
976,27,16,35,133,154
977,25,15,36,156,228
978,32,11,25,108,144
979,31,12,27,107,140
980,27,11,30,139,280
981,29,12,29,115,178
982,28,13,31,127,172
983,32,9,23,99,168
984,29,13,30,139,196
985,28,13,31,133,242
986,30,13,29,126,148
987,30,12,28,138,238
988,26,14,34,169,296
989,35,6,17,94,226
990,27,15,34,137,184
991,26,15,35,149,198
992,25,12,33,161,420
993,28,12,30,147,260
994,32,11,25,105,184
995,30,13,29,96,126
996,24,16,38,150,210
997,29,11,28,133,234
998,29,12,29,118,208
999,25,15,36,125,180
1000,28,13,31,125,198
1001,28,13,31,133,188
1002,30,11,27,158,276
1003,28,12,30,169,364
1004,29,10,27,96,172
1005,28,12,30,104,158
1006,27,15,34,164,218
1007,27,14,33,160,250
1008,29,12,29,120,192
1009,33,11,24,108,120
1010,28,13,31,123,182
1011,31,13,28,119,146
1012,30,12,28,124,156
1013,32,12,26,101,140
1014,27,14,33,127,198
1015,25,12,33,152,372
1016,29,13,30,141,174
1017,29,11,28,101,156
1018,26,13,33,143,284
1019,32,12,26,138,186
1020,32,12,26,97,118
1021,30,13,29,151,220
1022,29,13,30,127,172
1023,28,13,31,117,166
1024,26,12,32,122,210
1025,32,11,25,105,150
1026,25,14,35,128,278
1027,32,13,27,89,98
1028,26,14,34,134,196
1029,27,13,32,151,278
1030,29,12,29,134,210
1031,28,12,30,153,252
1032,25,15,36,145,220
1033,27,13,32,105,156
1034,31,14,29,120,132
1035,31,12,27,149,246
1036,28,14,32,135,198
1037,32,11,25,109,154
1038,31,11,26,159,274
1039,33,9,22,72,104
1040,32,11,25,98,128
1041,31,13,28,113,128
1042,31,12,27,92,122
1043,33,9,22,121,224
1044,29,15,32,174,210
1045,28,12,30,104,154
1046,32,10,24,86,130
1047,29,13,30,136,184
1048,31,12,27,113,134
1049,28,12,30,133,194
1050,27,13,32,110,170
1051,33,11,24,97,124
1052,27,12,31,114,240
1053,32,11,25,81,102
1054,30,12,28,107,136
1055,31,14,29,125,134
1056,28,14,32,143,194
1057,30,10,26,96,154
1058,31,12,27,107,128
1059,31,12,27,84,108
1060,29,15,32,141,156
1061,32,10,24,88,124
1062,29,15,32,125,140
1063,31,10,25,70,114
1064,30,12,28,105,152
1065,25,13,34,132,238
1066,32,11,25,100,136
1067,31,10,25,89,148
1068,30,13,29,151,226
1069,27,15,34,151,214
1070,28,14,32,140,218
1071,28,13,31,151,340
1072,27,12,31,154,250
1073,32,11,25,138,186
1074,32,11,25,94,118
1075,28,13,31,146,220
1076,29,13,30,116,158
1077,28,13,31,130,190
1078,28,14,32,171,222
1079,28,12,30,99,160
1080,31,11,26,118,182
1081,28,12,30,138,222
1082,31,10,25,82,154
1083,31,13,28,106,124
1084,29,14,31,154,210
1085,29,14,31,162,240
1086,27,11,30,150,310
1087,30,14,30,152,170
1088,28,13,31,140,200
1089,32,12,26,127,166
1090,32,9,23,109,222
1091,29,12,29,139,188
1092,28,14,32,128,176
1093,29,12,29,117,202
1094,29,10,27,80,172
1095,28,8,26,106,282
1096,31,11,26,102,178
1097,28,13,31,104,166
1098,26,14,34,130,210
1099,30,14,30,101,122
1100,30,14,30,127,142
1101,28,13,31,152,248
1102,28,13,31,143,218
1103,28,12,30,100,150
1104,27,14,33,137,212
1105,34,9,21,51,66
1106,30,14,30,142,184
1107,31,10,25,106,172
1108,27,12,31,156,364
1109,34,9,21,119,194
1110,30,12,28,88,130
1111,27,14,33,112,174
1112,26,11,31,116,214
1113,30,11,27,142,226
1114,30,13,29,90,114
1115,29,12,29,149,236
1116,32,10,24,88,136
1117,29,11,28,151,270
1118,28,14,32,136,186
1119,26,12,32,120,226
1120,33,8,21,140,338
1121,33,12,25,118,142
1122,34,9,21,109,156
1123,30,14,30,114,144
1124,30,14,30,105,120
1125,26,14,34,187,302
1126,27,11,30,117,234
1127,27,12,31,147,234
1128,29,13,30,146,250
1129,28,13,31,133,204
1130,25,12,33,131,238
1131,25,14,35,116,194
1132,32,10,24,112,188
1133,30,10,26,120,200
1134,28,12,30,142,232
1135,28,13,31,115,178
1136,28,14,32,123,162
1137,31,11,26,125,188
1138,29,14,31,112,142
1139,29,10,27,113,198
1140,29,11,28,96,170
1141,28,12,30,141,254
1142,29,11,28,146,290
1143,31,14,29,138,144
1144,30,11,27,121,188
1145,27,11,30,148,256
1146,30,10,26,93,164
